,title,publication_date,location,workload,job_type,company,job_link,keyword
4870,Data Protection Manager (befristet für 01.06.2023 - 31.03.2024),28 April 2023,Zürich,100%,Temporary,PwC,https://www.jobs.ch/en/vacancies/detail/6507153d-5448-4561-8f98-f592a6ef06bf/?source=vacancy_search,data manager
4871,Stammdatenmanager:in und Controller:in 80-100%,08 May 2023,Bern 16,80% – 100%,Unlimited employment,Unia Zentralsekretariat Bern,https://www.jobs.ch/en/vacancies/detail/e7d3b275-61e6-4b3d-9627-847a1c2ed825/?source=vacancy_search,data manager
4872,Junior MDM Data Steward SAP,22 May 2023,Nänikon,100%,Unlimited employment,Mettler Toledo,https://www.jobs.ch/en/vacancies/detail/ec7113b9-1e8d-4265-ac0a-9bf3541b875a/?source=vacancy_search,data manager
4873,Print & Masterdata Administrator (m/w/d - 100%),14 May 2023,Schaffhausen,100%,Unlimited employment,IWC Schaffhausen,https://www.jobs.ch/en/vacancies/detail/6e924637-5abc-455d-8263-5f27ccae9086/?source=vacancy_search,data manager
4874,Messdatenmanager*in (m/w/d) 80 bis 100%,17 May 2023,Langenthal,80% – 100%,Unlimited employment,IB Langenthal AG,https://www.jobs.ch/en/vacancies/detail/f3624226-fc68-4bfd-adf2-e78b626b7f8b/?source=vacancy_search,data manager
4875,Product Data Management (PDM) Application Engineer (m/w/d),08 May 2023,Zürich,100%,Unlimited employment,Rheinmetall Air Defence AG,https://www.jobs.ch/en/vacancies/detail/b581bea0-9ff6-48c9-802d-a05e1890ac27/?source=vacancy_search,data manager
4876,(Senior-) Consultant - Data Management & Strategy - Technology Consulting,10 May 2023,Zurich,100%,Unlimited employment,EY (Ernst & Young AG),https://www.jobs.ch/en/vacancies/detail/39c8f0b2-7846-448d-84d1-7054a71ef1b3/?source=vacancy_search,data manager
4877,(Junior) Data Architect / Data Engineer (w/m/d),03 May 2023,Sempach,100%,Unlimited employment,B. Braun Medical AG,https://www.jobs.ch/en/vacancies/detail/be407fbd-f52c-4445-be88-05be22e22733/?source=vacancy_search,data manager
4878,Head Product Data 80 - 100% (m/w/d),23 May 2023,Muri,5%,Unlimited employment,STOBAG AG,https://www.jobs.ch/en/vacancies/detail/73596546-f2ce-466d-aacf-dadac04c4ea1/?source=vacancy_search,data manager
4879,Technischer Support-Kalkulationssoftware-Metallbau,27 April 2023,Arbon,80% – 100%,Unlimited employment,Forster Profilsysteme AG,https://www.jobs.ch/en/vacancies/detail/63b2b45a-5db9-415d-a32a-02dfc3069e59/?source=vacancy_search,data manager
4880,Mechanical Data Manager,23 May 2023,Zürich Seebach,100%,Unlimited employment,RUAG AG,https://www.jobs.ch/en/vacancies/detail/b3f6c864-178f-4729-b888-a455f7915209/?source=vacancy_search,data manager
4881,Master Data Manager QC (w/m/d),28 April 2023,Bubendorf,100%,Unlimited employment,Bachem AG,https://www.jobs.ch/en/vacancies/detail/c97d9686-3258-415b-8acd-f555ec34d1e5/?source=vacancy_search,data manager
4882,Master Data Manager (m/w/d),16 May 2023,Reinach BL,100%,Unlimited employment,Endress+Hauser,https://www.jobs.ch/en/vacancies/detail/76141349-c3f2-426c-ab3c-877e5278cc89/?source=vacancy_search,data manager
4883,Material Master Data Manager (a),19 May 2023,Fällanden,100%,Unlimited employment,Bruker Switzerland AG,https://www.jobs.ch/en/vacancies/detail/5ed44dfe-855a-4529-9678-50fe510864b4/?source=vacancy_search,data manager
4884,Data Manager/SAP Key User (w/m/d) 80-100%,03 May 2023,Zürich,80% – 100%,Unlimited employment,MAN Energy Solutions Schweiz AG,https://www.jobs.ch/en/vacancies/detail/bdbc740f-91c9-4bd0-8d2a-64272c5d0cd4/?source=vacancy_search,data manager
4885,Junior Master Data Manager (w/m/d) 40-50%,10 May 2023,Dübendorf,40% – 50%,Unlimited employment,Maagtechnic AG,https://www.jobs.ch/en/vacancies/detail/7a790b0e-0910-42bf-ad04-67fa8f1ca283/?source=vacancy_search,data manager
4886,Data & Pricing Manager Aftersales (m/w/d) 100%,08 May 2023,Schlieren,100%,Unlimited employment,Astara Ital Switzerland AG,https://www.jobs.ch/en/vacancies/detail/dae3a45b-c0ef-40f7-854d-d934a68fbe4b/?source=vacancy_search,data manager
4887,Leiterin / Leiter Data Competence Centre,06 May 2023,Bern-Liebefeld,80% – 100%,Unlimited employment,Bundesamt für Lebensmittelsicherheit und Veterinärwesen BLV,https://www.jobs.ch/en/vacancies/detail/13fd9804-146d-4a11-ab40-37d9d8d0abf7/?source=vacancy_search,data manager
4888,Client Data Management Officer (Ref. 2002),29 April 2023,Basel,100%,Unlimited employment,Bank J. Safra Sarasin AG,https://www.jobs.ch/en/vacancies/detail/a017f13c-742e-420a-8854-5584adadd6d7/?source=vacancy_search,data manager
4889,Data Engineer (a)*,10 May 2023,Zürich-Seefeld,80% – 100%,Unlimited employment,Ringier AG,https://www.jobs.ch/en/vacancies/detail/5495ba4f-7c74-4ee2-8711-e34faba4127c/?source=vacancy_search,data manager
4890,Data Protection Manager (befristet für 01.06.2023 - 31.03.2024),28 April 2023,Zürich,100%,Temporary,PwC,https://www.jobs.ch/en/vacancies/detail/6507153d-5448-4561-8f98-f592a6ef06bf/?source=vacancy_search,data manager
4891,Stammdatenmanager:in und Controller:in 80-100%,08 May 2023,Bern 16,80% – 100%,Unlimited employment,Unia Zentralsekretariat Bern,https://www.jobs.ch/en/vacancies/detail/e7d3b275-61e6-4b3d-9627-847a1c2ed825/?source=vacancy_search,data manager
4892,Junior MDM Data Steward SAP,22 May 2023,Nänikon,100%,Unlimited employment,Mettler Toledo,https://www.jobs.ch/en/vacancies/detail/ec7113b9-1e8d-4265-ac0a-9bf3541b875a/?source=vacancy_search,data manager
4893,Print & Masterdata Administrator (m/w/d - 100%),14 May 2023,Schaffhausen,100%,Unlimited employment,IWC Schaffhausen,https://www.jobs.ch/en/vacancies/detail/6e924637-5abc-455d-8263-5f27ccae9086/?source=vacancy_search,data manager
4894,Messdatenmanager*in (m/w/d) 80 bis 100%,17 May 2023,Langenthal,80% – 100%,Unlimited employment,IB Langenthal AG,https://www.jobs.ch/en/vacancies/detail/f3624226-fc68-4bfd-adf2-e78b626b7f8b/?source=vacancy_search,data manager
4895,Product Data Management (PDM) Application Engineer (m/w/d),08 May 2023,Zürich,100%,Unlimited employment,Rheinmetall Air Defence AG,https://www.jobs.ch/en/vacancies/detail/b581bea0-9ff6-48c9-802d-a05e1890ac27/?source=vacancy_search,data manager
4896,(Senior-) Consultant - Data Management & Strategy - Technology Consulting,10 May 2023,Zurich,100%,Unlimited employment,EY (Ernst & Young AG),https://www.jobs.ch/en/vacancies/detail/39c8f0b2-7846-448d-84d1-7054a71ef1b3/?source=vacancy_search,data manager
4897,(Junior) Data Architect / Data Engineer (w/m/d),03 May 2023,Sempach,100%,Unlimited employment,B. Braun Medical AG,https://www.jobs.ch/en/vacancies/detail/be407fbd-f52c-4445-be88-05be22e22733/?source=vacancy_search,data manager
4898,Head Product Data 80 - 100% (m/w/d),23 May 2023,Muri,5%,Unlimited employment,STOBAG AG,https://www.jobs.ch/en/vacancies/detail/73596546-f2ce-466d-aacf-dadac04c4ea1/?source=vacancy_search,data manager
4899,Technischer Support-Kalkulationssoftware-Metallbau,27 April 2023,Arbon,80% – 100%,Unlimited employment,Forster Profilsysteme AG,https://www.jobs.ch/en/vacancies/detail/63b2b45a-5db9-415d-a32a-02dfc3069e59/?source=vacancy_search,data manager
4900,Mechanical Data Manager,23 May 2023,Zürich Seebach,100%,Unlimited employment,RUAG AG,https://www.jobs.ch/en/vacancies/detail/b3f6c864-178f-4729-b888-a455f7915209/?source=vacancy_search,data manager
4901,Master Data Manager QC (w/m/d),28 April 2023,Bubendorf,100%,Unlimited employment,Bachem AG,https://www.jobs.ch/en/vacancies/detail/c97d9686-3258-415b-8acd-f555ec34d1e5/?source=vacancy_search,data manager
4902,Master Data Manager (m/w/d),16 May 2023,Reinach BL,100%,Unlimited employment,Endress+Hauser,https://www.jobs.ch/en/vacancies/detail/76141349-c3f2-426c-ab3c-877e5278cc89/?source=vacancy_search,data manager
4903,Material Master Data Manager (a),19 May 2023,Fällanden,100%,Unlimited employment,Bruker Switzerland AG,https://www.jobs.ch/en/vacancies/detail/5ed44dfe-855a-4529-9678-50fe510864b4/?source=vacancy_search,data manager
4904,Data Manager/SAP Key User (w/m/d) 80-100%,03 May 2023,Zürich,80% – 100%,Unlimited employment,MAN Energy Solutions Schweiz AG,https://www.jobs.ch/en/vacancies/detail/bdbc740f-91c9-4bd0-8d2a-64272c5d0cd4/?source=vacancy_search,data manager
4905,Junior Master Data Manager (w/m/d) 40-50%,10 May 2023,Dübendorf,40% – 50%,Unlimited employment,Maagtechnic AG,https://www.jobs.ch/en/vacancies/detail/7a790b0e-0910-42bf-ad04-67fa8f1ca283/?source=vacancy_search,data manager
4906,Data & Pricing Manager Aftersales (m/w/d) 100%,08 May 2023,Schlieren,100%,Unlimited employment,Astara Ital Switzerland AG,https://www.jobs.ch/en/vacancies/detail/dae3a45b-c0ef-40f7-854d-d934a68fbe4b/?source=vacancy_search,data manager
4907,Leiterin / Leiter Data Competence Centre,06 May 2023,Bern-Liebefeld,80% – 100%,Unlimited employment,Bundesamt für Lebensmittelsicherheit und Veterinärwesen BLV,https://www.jobs.ch/en/vacancies/detail/13fd9804-146d-4a11-ab40-37d9d8d0abf7/?source=vacancy_search,data manager
4908,Client Data Management Officer (Ref. 2002),29 April 2023,Basel,100%,Unlimited employment,Bank J. Safra Sarasin AG,https://www.jobs.ch/en/vacancies/detail/a017f13c-742e-420a-8854-5584adadd6d7/?source=vacancy_search,data manager
4909,Data Engineer (a)*,10 May 2023,Zürich-Seefeld,80% – 100%,Unlimited employment,Ringier AG,https://www.jobs.ch/en/vacancies/detail/5495ba4f-7c74-4ee2-8711-e34faba4127c/?source=vacancy_search,data manager
4910,Data Protection Manager (befristet für 01.06.2023 - 31.03.2024),28 April 2023,Zürich,100%,Temporary,PwC,https://www.jobs.ch/en/vacancies/detail/6507153d-5448-4561-8f98-f592a6ef06bf/?source=vacancy_search,data manager
4911,Stammdatenmanager:in und Controller:in 80-100%,08 May 2023,Bern 16,80% – 100%,Unlimited employment,Unia Zentralsekretariat Bern,https://www.jobs.ch/en/vacancies/detail/e7d3b275-61e6-4b3d-9627-847a1c2ed825/?source=vacancy_search,data manager
4912,Junior MDM Data Steward SAP,22 May 2023,Nänikon,100%,Unlimited employment,Mettler Toledo,https://www.jobs.ch/en/vacancies/detail/ec7113b9-1e8d-4265-ac0a-9bf3541b875a/?source=vacancy_search,data manager
4913,Print & Masterdata Administrator (m/w/d - 100%),14 May 2023,Schaffhausen,100%,Unlimited employment,IWC Schaffhausen,https://www.jobs.ch/en/vacancies/detail/6e924637-5abc-455d-8263-5f27ccae9086/?source=vacancy_search,data manager
4914,Messdatenmanager*in (m/w/d) 80 bis 100%,17 May 2023,Langenthal,80% – 100%,Unlimited employment,IB Langenthal AG,https://www.jobs.ch/en/vacancies/detail/f3624226-fc68-4bfd-adf2-e78b626b7f8b/?source=vacancy_search,data manager
4915,Product Data Management (PDM) Application Engineer (m/w/d),08 May 2023,Zürich,100%,Unlimited employment,Rheinmetall Air Defence AG,https://www.jobs.ch/en/vacancies/detail/b581bea0-9ff6-48c9-802d-a05e1890ac27/?source=vacancy_search,data manager
4916,(Senior-) Consultant - Data Management & Strategy - Technology Consulting,10 May 2023,Zurich,100%,Unlimited employment,EY (Ernst & Young AG),https://www.jobs.ch/en/vacancies/detail/39c8f0b2-7846-448d-84d1-7054a71ef1b3/?source=vacancy_search,data manager
4917,(Junior) Data Architect / Data Engineer (w/m/d),03 May 2023,Sempach,100%,Unlimited employment,B. Braun Medical AG,https://www.jobs.ch/en/vacancies/detail/be407fbd-f52c-4445-be88-05be22e22733/?source=vacancy_search,data manager
4918,Head Product Data 80 - 100% (m/w/d),23 May 2023,Muri,5%,Unlimited employment,STOBAG AG,https://www.jobs.ch/en/vacancies/detail/73596546-f2ce-466d-aacf-dadac04c4ea1/?source=vacancy_search,data manager
4919,Technischer Support-Kalkulationssoftware-Metallbau,27 April 2023,Arbon,80% – 100%,Unlimited employment,Forster Profilsysteme AG,https://www.jobs.ch/en/vacancies/detail/63b2b45a-5db9-415d-a32a-02dfc3069e59/?source=vacancy_search,data manager
4920,Mechanical Data Manager,23 May 2023,Zürich Seebach,100%,Unlimited employment,RUAG AG,https://www.jobs.ch/en/vacancies/detail/b3f6c864-178f-4729-b888-a455f7915209/?source=vacancy_search,data manager
4921,Master Data Manager QC (w/m/d),28 April 2023,Bubendorf,100%,Unlimited employment,Bachem AG,https://www.jobs.ch/en/vacancies/detail/c97d9686-3258-415b-8acd-f555ec34d1e5/?source=vacancy_search,data manager
4922,Master Data Manager (m/w/d),16 May 2023,Reinach BL,100%,Unlimited employment,Endress+Hauser,https://www.jobs.ch/en/vacancies/detail/76141349-c3f2-426c-ab3c-877e5278cc89/?source=vacancy_search,data manager
4923,Material Master Data Manager (a),19 May 2023,Fällanden,100%,Unlimited employment,Bruker Switzerland AG,https://www.jobs.ch/en/vacancies/detail/5ed44dfe-855a-4529-9678-50fe510864b4/?source=vacancy_search,data manager
4924,Data Manager/SAP Key User (w/m/d) 80-100%,03 May 2023,Zürich,80% – 100%,Unlimited employment,MAN Energy Solutions Schweiz AG,https://www.jobs.ch/en/vacancies/detail/bdbc740f-91c9-4bd0-8d2a-64272c5d0cd4/?source=vacancy_search,data manager
4925,Junior Master Data Manager (w/m/d) 40-50%,10 May 2023,Dübendorf,40% – 50%,Unlimited employment,Maagtechnic AG,https://www.jobs.ch/en/vacancies/detail/7a790b0e-0910-42bf-ad04-67fa8f1ca283/?source=vacancy_search,data manager
4926,Data & Pricing Manager Aftersales (m/w/d) 100%,08 May 2023,Schlieren,100%,Unlimited employment,Astara Ital Switzerland AG,https://www.jobs.ch/en/vacancies/detail/dae3a45b-c0ef-40f7-854d-d934a68fbe4b/?source=vacancy_search,data manager
4927,Leiterin / Leiter Data Competence Centre,06 May 2023,Bern-Liebefeld,80% – 100%,Unlimited employment,Bundesamt für Lebensmittelsicherheit und Veterinärwesen BLV,https://www.jobs.ch/en/vacancies/detail/13fd9804-146d-4a11-ab40-37d9d8d0abf7/?source=vacancy_search,data manager
4928,Client Data Management Officer (Ref. 2002),29 April 2023,Basel,100%,Unlimited employment,Bank J. Safra Sarasin AG,https://www.jobs.ch/en/vacancies/detail/a017f13c-742e-420a-8854-5584adadd6d7/?source=vacancy_search,data manager
4929,Data Engineer (a)*,10 May 2023,Zürich-Seefeld,80% – 100%,Unlimited employment,Ringier AG,https://www.jobs.ch/en/vacancies/detail/5495ba4f-7c74-4ee2-8711-e34faba4127c/?source=vacancy_search,data manager
4930,Data Protection Manager (befristet für 01.06.2023 - 31.03.2024),28 April 2023,Zürich,100%,Temporary,PwC,https://www.jobs.ch/en/vacancies/detail/6507153d-5448-4561-8f98-f592a6ef06bf/?source=vacancy_search,data manager
4931,Stammdatenmanager:in und Controller:in 80-100%,08 May 2023,Bern 16,80% – 100%,Unlimited employment,Unia Zentralsekretariat Bern,https://www.jobs.ch/en/vacancies/detail/e7d3b275-61e6-4b3d-9627-847a1c2ed825/?source=vacancy_search,data manager
4932,Junior MDM Data Steward SAP,22 May 2023,Nänikon,100%,Unlimited employment,Mettler Toledo,https://www.jobs.ch/en/vacancies/detail/ec7113b9-1e8d-4265-ac0a-9bf3541b875a/?source=vacancy_search,data manager
4933,Print & Masterdata Administrator (m/w/d - 100%),14 May 2023,Schaffhausen,100%,Unlimited employment,IWC Schaffhausen,https://www.jobs.ch/en/vacancies/detail/6e924637-5abc-455d-8263-5f27ccae9086/?source=vacancy_search,data manager
