,title,publication_date,location,workload,job_type,company,job_link,keyword
4934,Messdatenmanager*in (m/w/d) 80 bis 100%,17 May 2023,Langenthal,80% – 100%,Unlimited employment,IB Langenthal AG,https://www.jobs.ch/en/vacancies/detail/f3624226-fc68-4bfd-adf2-e78b626b7f8b/?source=vacancy_search,data manager
4935,Product Data Management (PDM) Application Engineer (m/w/d),08 May 2023,Zürich,100%,Unlimited employment,Rheinmetall Air Defence AG,https://www.jobs.ch/en/vacancies/detail/b581bea0-9ff6-48c9-802d-a05e1890ac27/?source=vacancy_search,data manager
4936,(Senior-) Consultant - Data Management & Strategy - Technology Consulting,10 May 2023,Zurich,100%,Unlimited employment,EY (Ernst & Young AG),https://www.jobs.ch/en/vacancies/detail/39c8f0b2-7846-448d-84d1-7054a71ef1b3/?source=vacancy_search,data manager
4937,(Junior) Data Architect / Data Engineer (w/m/d),03 May 2023,Sempach,100%,Unlimited employment,B. Braun Medical AG,https://www.jobs.ch/en/vacancies/detail/be407fbd-f52c-4445-be88-05be22e22733/?source=vacancy_search,data manager
4938,Head Product Data 80 - 100% (m/w/d),23 May 2023,Muri,5%,Unlimited employment,STOBAG AG,https://www.jobs.ch/en/vacancies/detail/73596546-f2ce-466d-aacf-dadac04c4ea1/?source=vacancy_search,data manager
4939,Technischer Support-Kalkulationssoftware-Metallbau,27 April 2023,Arbon,80% – 100%,Unlimited employment,Forster Profilsysteme AG,https://www.jobs.ch/en/vacancies/detail/63b2b45a-5db9-415d-a32a-02dfc3069e59/?source=vacancy_search,data manager
4940,Mechanical Data Manager,23 May 2023,Zürich Seebach,100%,Unlimited employment,RUAG AG,https://www.jobs.ch/en/vacancies/detail/b3f6c864-178f-4729-b888-a455f7915209/?source=vacancy_search,data manager
4941,Master Data Manager QC (w/m/d),28 April 2023,Bubendorf,100%,Unlimited employment,Bachem AG,https://www.jobs.ch/en/vacancies/detail/c97d9686-3258-415b-8acd-f555ec34d1e5/?source=vacancy_search,data manager
4942,Master Data Manager (m/w/d),16 May 2023,Reinach BL,100%,Unlimited employment,Endress+Hauser,https://www.jobs.ch/en/vacancies/detail/76141349-c3f2-426c-ab3c-877e5278cc89/?source=vacancy_search,data manager
4943,Material Master Data Manager (a),19 May 2023,Fällanden,100%,Unlimited employment,Bruker Switzerland AG,https://www.jobs.ch/en/vacancies/detail/5ed44dfe-855a-4529-9678-50fe510864b4/?source=vacancy_search,data manager
